태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,애새끼들 처웃기다고 듣는거 개씹노이해,,죷,,,,,썩을넘,,,,
,ㄹㅇ토토충이나 폰팔이라고 했으면 이렇게 욕 안먹었다,,죶,,,,,썩을년,,,,
,ㅁㅈㅎ 짤이라도 캡쳐해놓고 지랄해라 쉐복하지말고,,좇,,,,,썩을노마,,,,
,지랄발광들을 해봐라.,,개씨발련아,,,,,썩을놈,,,,
,존나 병신같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,C'발,,,,,썩을뇨나,,,,
,대구교대급도 안되는 학교다니면서 아가리는 왜턴거야?다른게이들 보는데지기싫어서?,,C'VA,,,,,썩을뇬,,,,
,걍 짱깨랑 다를게 없음 ㅋㅋㅋㅋㅋ 오히려 더하면 더했지 절대 덜하지 않음 ㅋㅋㅋㅋㅋ 존나 천박하고 교만하고 집단주의적 사고에서 영원히 머물러 있는 병신민족 ㅋㅋ가끔 나타는 선지자들 덕에 그나마 유지되오던게 이제 그마저도 나올수가 없는 사회임 ㅋㅋ,,빙신,,,,,썩을눔,,,,
,대구 싸잡아 욕해도 대구놈들은 아닥하고 있어라.,,"^^ㅣ발
奀같네",,,,,썩을늠,,,,
,착오로 송부? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ갈데까지 갔구나 씹재앙 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,C'VA,,,,,썩을시끼,,,,
,암내치즈누렁내 날꺼같음,,C'발,,,,,썩을시키,,,,
,너도 나이들어서 그러지않기를 빈다컴퓨터 이후의 무언가가 나왔는데 적응못하고씨피유가 어쩌고 그러는 틀딱이 될수도있음,,^^ㅣ발,,,,,쎄기,,,,
,직접 총장날인 찍어서 표창장 발행한 적 있는 직원 말은 왜 안들어? ㅋㅋ무슨 선택적 정보 취득이냐? ㅋㅋㅋ븅신,,奀같네,,,,,쎄꺄,,,,
,여윽시 짱깨들...,,느개비,,,,,쎄끼,,,,
,서현에도 요즘 구성남애들 지하철 타고 많이 놀러오는듯 시발 좀 꺼졌으면,,Bozi,,,,,쎄럽,,,,
,글쓴게이 몇살이냐?,,sex,,,,,쎄리,,,,
,저기가 일베라치면 여긴?대깨문과 조선족 밭인가?솔직히 틀린말도 안했자나,,ur,,,,,쎄엑,,,,
,오예 씨발 버닝썬 나도가능하냐 물고빨고맛보고 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ호족옆에붙어 응디믿고 살아가면되냐?,,m0m,,,,,쎄퀴,,,,
,진짜 알리드립은 12년도부터본거같은데 시발 8년째 저지랄하네,,gay,,,,,쎄키,,,,
,"일베충 중에 멍청한 놈 하나 선별해서 총알받이로 발탁, 앞세운 것 같은 느낌이 드네요",,pussy,,,,,쎅,,,,
,그냥 안봐도 보임좌파=돈앞에선 같은편이고 뭐고 없음,,fucker,,,,,쎅수,,,,
,나도 이거로 맨손 딸 하는데 기분 ㅅㅌㅊ,,|/|1gga,,,,,쎅스,,,,
,혐짤표시해라 ㅅㅂ 기분 더럽노,,^^1발,,,,,쎅쑤,,,,
,비례매국당이라고 해라,,씨@발,,,,,쎅쓰,,,,
,응 26살 틀딱,,야발,,,,,쎆끼,,,,
,왜이리 부들부들거리는거냐? ㅋ ㅋ ㅋ,,니@H미,,,,,쎆스,,,,
,땜쟁이 ㅅㄲ들 ㅈㄴ게 ㅂㄷㅂㄷ데는거 ㅈㄴ 꿀잼이노ㅋㅋㅋㅋㅋ,,개1씨!발,,,,,쎼ㄲㅣ,,,,
,뭐가 감사하냐 꺼져라.,,씨빨!,,,,,쎼끼,,,,
,빨리 니 몸부위중 가장 풍성한곳을 문지르며 '나는풍성충' 이라고 세번 말해야  지금있는 모근이라도 지킬수 있음  -찐-,,시1발새1끼야,,,,,쎽스,,,,
,여자를 겪어본 적이 없는 게이 ㅋㅋㅋ,,7ㅐ새77ㅣ,,,,,쐉넘,,,,
,외교부 영상가보면 벌레들 몰려와서 정신승리중 ㅋㅋㅋ,,18새77ㅣ,,,,,쐉년,,,,
,아 이새끼 말귀를 못 알아쳐먹네.....수학이 허접이라는게 아니라 한번배운 단순입시수학으로 밥벌어먹는 강사가 병신이라고,,니@애미,,,,,쐐뀌,,,,
,쓰레기들.,,니@ㅐ미,,,,,쐐끼,,,,
,안할꺼면 글올리지마라 노잼,,응니얼굴,,,,,쐐이,,,,
,링크는 이짓거리 하기전에 니가 선관위홈피들가서 찾아보면 되지 손이없냐,,좆77ㅏ,,,,,쐑갸,,,,
,다음댓글이 학력인증 링크가 아니면 걍 좆무식한 빡대가리가 자존심 살려달라고 애원하는 소리로 알고 읽지않은 뒤 씹겠습니다^^,,^^ㅣ발,,,,,쐑꺄,,,,
,일개 도시수장이 한나라의 국방에 대해 왈가불가 할 자격이 있나? 주제넘게 나대네 역시 홍어형 협찬인생 씨발 수준답다,,Tlqkf,,,,,쐑들,,,,
,헬조선에서 왜 문치매이 대통령 해먹겠어뜬구름 잡는 소리로 망각하게 만들고 허상을 심어주면 좋아하고냉혹한 현실을 이야기 하면 지랄발광함,,rotoRl,,,,,쐑수,,,,
,그냥 아예 좃병신인데 뭐이렇게 혓바닥이 길어,,rotoRl야,,,,,쐑스,,,,
,".... 틀딱이냐 ??갑자기 아이폰이 왜나와 ? 주진모 사건은   어떤 폰이던지 털리는건데,  폰이 도용당한게 아니라계정이랑 비번이 도용당했자나이해못함 ?",,smrmaak,,,,,쐑쑤,,,,
,저게 꼴리냐?,,느금마 봊2,,,,,쐑쓰,,,,
,관상지랄,,섹s,,,,,쐑캬,,,,
,인제 기레기,,secs,,,,,쐬끼,,,,
,"바세린 으로 어그로 끌던 sbs 에 놀아나는 개돼지들많더라 어휴당연히 타고나는게 중요하다 나는 비타민은 안먹지만 마그네슘 아연 등 효과 봤고음식 으로 섭취했을경우 전혀효과못봄  존나쳐먹었는데 앞으로 비타민b 하고 오메가3 도 먹을거다비타민 d , c 는 모르겠다",,느그마,,,,,쑤ㅣ벵아,,,,
,신고하면 뭐하냐?대가리가 빨갱이새낀데...,,쥬지 딱때^^,,,,,쑵년,,,,
,보지선생이었으면 ㅂㄷ거리면서불러서 좆나 팻을듯,,ㅅ1ㅂ,,,,,쑵새,,,,
,블박차 ㅂㅅ이네. 앞차 브레이크 밟으면 같이 밟아야지 그냥 가고있어 ㅋㅋㅋ,,야2 슈발,,,,,쒜,,,,
,개소리하면서 도망가지 말고 근거 가져와 씨발 새끼야 ㅋㅋㅋㅋㅋㅎㅋㅋㅋㅋㅋㅋㅋㅋ,,쉬벌,,,,,쒜뀌,,,,
,팩트는 저 박사방놈이 일베인게 팩트로 밝혀졌잖아(일베가입 노무현 대통령 조롱 노알라사진등) 한심한  박사모야,,ㅅㅣ벌,,,,,쒜끠,,,,
,트럼프.재는 쩍팔리지도안냐,,ㅆㅣ벌,,,,,쒜끼,,,,
,시발 말론브란도래 ㅋㅋㅋㅋ,,^^ㅣ벌,,,,,쒜리,,,,
,근데 이건 좆병신 싼티나는 카톡 어플 주작이라 ㅁㅈㅎ,,ㅅㅣ바,,,,,쒜키,,,,
,아무 죄없는 청소부한테  자식교육 시킨다고 너 공부안하면 저 아저씨처럼 돼.. 이거랑 같은 경우인데 병신들이 7등급이고 기술이고 머고 헛소리고 ㅋㅋㅋ 저 여자가 틀딱마인드 노동은 천하다 무시하는게 문제지,,ㅆㅣ바,,,,,쒝끼,,,,
,돈 못벌더라도 용접공보다 다른 직업이 낫다는말이지돈이 장땡이면 창녀랑 결혼하지그러노,,^^ㅣ바,,,,,쒝수,,,,
,마니야  애국할 시점이닷. 똘마니들 일본으로 긴급 투입 지령내려줘~,,쓰바,,,,,쒝쑤,,,,
,그건 니가 개보지년이어서 그런거 아닐까?,,앰뒤,,,,,쒝쓰,,,,
,내가 살아있을때 기생충 구더기 곱등이 연가시 엑시구아 바퀴벌레 시궁창 쥐새끼들한테 애미 애비가 창자까지 돌림빵쳐당한 유사인류 헬짱깨 종이호랑이 에미뒤진 걸레갈보개씹창년 허벌보지 니미 씹창 좆물통을 사시미로 토막내고 도려낸 다음에 마체테로 찢어죽여버릴 육변기 개갈보지 씹창년새끼들 쳐망하는걸 볼수 있다면 그걸로도 감사한거지 ㅇㅇ,,ㅅㅂ,,,,,쒝캬,,,,
,난 여초회사 다니는데 밥먹을때 부대찌개에 앞접시 안 덜고 지들이 그냥 숟가락 휘휘 저어 먹음 참고로 다들 20대 여직원들임 이거 업계포상이노?,,ㅂㅅ,,,,,쒭가튼,,,,
,존나 잘함 파브레가스 마티치 라인 343 콘동님 시절에 애들 다 쓸어먹음전반기 한정임 근데 ㅋㅋㅋ후반기에는 너무 힘들어하는게 보였음 ㅋㅋ,,ㄴㄱㅁ,,,,,쒭사꾸,,,,
,"아무말 대잔치 이건 사년전에 본 단언데 아직도 쓰는새끼가 있냐,,, 니 에미에비가 쓰디? 아 뒤졌냐 ㅋㅋㅋㅋㅋㅋㅋ ㅈㅅ ㅎㅎ",,SSIBAL,,,,,쒭새,,,,
,요즘애들한테 옥상 뛰어다닌썰 풀면 틀딱취급 받겠노,,JONNA,,,,,쒸뀌,,,,
,보지도 압축해 제공하라,,존ㄴr,,,,,쒸댕,,,,
,어우시발꼴려,,이만희 개새끼,,,,,쒸뎅,,,,
,빨리 구라였다고 둘러치고 효진이 소개시켜달라고 졸라라,,^^ㅣ발,,,,,쒸바라,,,,
,아니 이름 뭐냐고 씹아 ㅋㅋ,,니@ㅐ미,,,,,쒸박,,,,
,이런 저능아들은 도대체 뭔생각하면서 사는지 모르겠네,,ㄷㅊ,,,,,쒸발,,,,
,당연한거 아니냐? 자기 몸건강 관리도 못하는애들이 용접공이니뭐니 하면 콧방귀 뀔듯,,ㅈㄹ,,,,,쒸방새,,,,
,예상 ㅈㅎ 병신아,,어머님이 안계셔서 겜을 그따구로 하는구나 ㅜㅜ,,,,,쒸방쉐,,,,
,아니 남에맘을 왜쳐빠냐,,아 맞다 미안 너 엄마가 없어서 가정교육을 못받아서 그렇지? 이해해 ㅜㅜ,,,,,쒸부랄,,,,
,진짜 개극혐 직업이다 ㄹㅇ,,예엠병,,,,,쒸부럴,,,,
,빨갱아 북한 핵개발에 대해서 어떻게 생각해?,,씩박,,,,,쒸뷰랄,,,,
,한국 ㅋㅋㅋ 또 나왔군 ㅋㅋ 이번엔 주예지다이기야!말한마디 잘못했어? 인성이 안됬어? 그럼 모두 달려들어 저년을 죽이라이기야!,,니애미,,,,,쒸뷰럴,,,,
,너랑 대화하려니 수준이 너무 떨어진다  ㅋ,,^^ㅣ발,,,,,쒸빨,,,,
,솔직히 집에서 고기 구우면 좆같은건 사실임 집이 존나 넓르면 모르겠는데.. 암튼 뒷정리하기 개좆같음,,ㅆl발,,,,,쒸빨넘,,,,
,다 기관총으로 총살해라,,ㅆ|발,,,,,쒸빵세이,,,,
,개소리는 일기장에 쓰시오!,,^^l발,,,,,쒸쌔,,,,
,내 글을 유일하게 이해한 새끼가 나타났네,,^^|발,,,,,쒸이,,,,
,와 테일윈드가 이러케이뻣나? 잘입으시니까 존나이뻐보이네요,,시1발,,,,,쒸입새,,,,
,시@발   저 효자통닭 조림닭 생각하면 좆같네   걍 안동찜닭 국물없어질떄까찌 조린건데조오오온나 짜고 간도 안베고 맛대가리 존나없어서 생활의달인 어케나온거지  이생각하다가지인중에 안동사람있길래  거기 갔다왓다니까  거기 어딘지도모르고 안동사람들은 안간다더라 ㅋㅋㅋㅋㅋ,,미1친,,,,,쒸키,,,,
,좆같은 짓 그만하라고 옳은 말 하면노잼충 씹선비 홍어 분탕이 되는 으메이징한 싸이트 ㅋㅋㅋ그러면서 욕 안먹고 인간다운 대접을 바란다???애국보수라서 욕먹고 탄압당한다고????? ㅋㅋ아이고~~슨상님 계실적엔 이런일이 읎었는디아이고~~민주주으야~~~아이고~~나가 호남사람이라 부당한 모욕을 당해부러~~~~이거 완전 섬노예 부리는 신안 홍어새끼들 범죄자 마인드 아니냐?,,새1끼,,,,,쒸파,,,,
,실력도 없고 기초 사실 틀리고 어중간한 인기,,옘병,,,,,쒸팍,,,,
,또 또 또 일게이들 같은 일게이 조리돌림 해서 컨텐츠 하나 죠졌누....,,옘1병,,,,,쒸팔,,,,
,오프닝만 봐도 존나 웃겼음 ㅋㅋ,,보전깨 씨이발련,,,,,쒸팔넘,,,,
,지 장비 일본 스키장에 두고 왔다고 자랑스럽게 떠벌림. ㅋㅋ갔더니 너무너무 좋았다고. 너무 좋아서 다시 가려고 했다고 함. ㅋㅋㅋㅋ,,씨벌,,,,,쒸팔년,,,,
,극혐,,깔미,,,,,쒸팔놈,,,,
,니그튼 그지새끼 아니더라도 아 배달비 있네??? 아 귀찮다 그냥 사먹어야지등등 이런 수요가 있으니까 존재가 하는거고 배달비 받는 업체들이 더 많이 늘어나는 거다거지새끼들아니랄까봐 자본주의시장에서 수요와 공급에 따라서 흘러가는 시장 흐름을 지들 돈 없다고 찡찡거리는 꼬라지 보소 이딴게 일베 ㅋㅋㅋㅋㅋ돈 아까우면 먹지마 가서 포장 해 오던가니들 같은 거지 아니더라도 먹는 사람 널렸어,,앱뒤,,,,,쒸팔뇬,,,,
,펨코 이 씨발련들 싸가지 왤케 없냐저 정도 길이면 그냥 건너갈 수도 있지누군가의 엄마이고 할머니이고 그럴텐데댓글 꼬라지 존나 싸가지 없네 이 개쓰레기새끼들이,,sibal,,,,,쒸팡,,,,
,홍어새끼들 존나 많네 이정도 디테일보고 주작주작 거리고 있네  씨발년들아 태어나기전일을 어떻게 인증을해 애미 쳐뒤졌나,,jot,,,,,쒸펄,,,,
,"손주은 센세가 떠오르노 ㅋㅋㅋㅋㅋㅋㅋ강의시간에 너 공부 안하면 창녀보다 못한 삶을 살게 될거라는 희대의 발언창녀는 화대라도 받는다고, 공부도 못하고 못생긴 얼굴이면 돈주고 결혼해야 한다고",,좃같은,,,,,쓉년,,,,
,애초에 비주얼이 저러면 구독자 없어서  무슨 발언을 해도 논란안됨ㅅㄱㅁㅈㅎ 달게받으렴,,개씨벌,,,,,쓉새,,,,
,이래서 애새끼 함부로 싸지르는거 아니다,,^^ㅣ발,,,,,쓉쌔,,,,
,애미애비도없노 ㅋ,,족같다,,,,,쓉쌔끼,,,,
,응 그래 저능아새끼야 그렇게 생각하고 살렴. 저능아는 저능아대로살아야지 시발 불끄는게 먼저지 병신새끼,,시1발,,,,,쓉쎄,,,,
,진짜 저 개성없는 머리는 왜 하는거냐,,씨발,,,,,쓉쎄끼,,,,
,오나1홀도 애1무 잘해주면 물 나온다 함 해보라ㅏ,,rotiRl,,,,,쓉쒜,,,,
,좀있으면 100억도 나오겠네 시발 ㅋㅋㅋㅋㅋㅋ,,시1발,,,,,쓉질,,,,
,"세금 내놓으라고 데모질 중 ㅋㅋ간첩, 도둑놈 새끼들이 대통령 해처먹으니까  나도 같이 해먹자며 나라 전체에 도둑놈만 득실거림 ㅋㅋ품종도 도둑질하는 조센진들",,시@발,,,,,쓉창,,,,
,우리나라교회는 악마들이모여 주뎅이 처벌리고,,등신,,,,,쓉탱,,,,
,,,니 법정대리인 부모님 아닐것 같다.,,,,,쓉팔넘,,,,
,,,시이발,,,,,쓉팔년,,,,
,,,7rl人rl77i,,,,,쓉팔놈,,,,
,,,니 임마 청년,,,,,쓉팔뇬,,,,
,,,됻깥네,,,,,쓋파라,,,,
,,,니OHDㅣ,,,,,쓰글넘,,,,
,,,시ㅡ바ㄹ,,,,,쓰글년,,,,
,,,ㅇㅔㅡ미,,,,,쓰글놈,,,,
,,,가ㅣㅅㅐㄲㅣ,,,,,쓰글늠,,,,
,,,ㄱㅐㅅㅐㄲㅣ,,,,,쓰댕,,,,
,,,차ㅇㅡ년,,,,,쓰델,,,,
,,,병2신,,,,,쓰뎅,,,,
,,,느금마,,,,,쓰렉년,,,,
,,,너검마,,,,,쓰바,,,,
,,,씨벌,,,,,쓰발,,,,
,,,느그어메,,,,,쓰방,,,,
,,,시발,,,,,쓰봉,,,,
,,,씨발,,,,,쓰부랄,,,,
,,,ㅅㅂ,,,,,쓰부럴,,,,
,,,ㅂㅅ,,,,,쓰붕쉐,,,,
,,,븅신,,,,,쓰브랄,,,,
,,,붕신,,,,,쓰브럴,,,,
,,,Fuck you,,,,,쓰팔넘,,,,
,,,Suck you,,,,,쓰팔년,,,,
,,,Fucking mother fuck,,,,,쓰팔놈,,,,
,,,Fuck yourself,,,,,쓰팔뇬,,,,
,,,Kill yourself,,,,,씁새,,,,
,,,니금마 보지구멍에 내 자동차 주차함 시발 에미죽빵터진년아,,,,,씁새끼,,,,
,,,니 육시를 조사불 놈아,,,,,씁세,,,,
,,,아니 ^^ㅣ발 도대체 그따구로 어떻게이겨줌???????,,,,,씁쉐,,,,
,,,^ㅢ발,,,,,씁쌔,,,,
,,,^^ㅣ발,,,,,씁쎄,,,,
,,,@ㅐ미,,,,,씁쒜,,,,
,,,니 m,,,,,씁창,,,,
,,,병x,,,,,씁탱,,,,
,,,z랄,,,,,씌28,,,,
,,,느그매 시벌 창걸래 허벌보2지년아,,,,,씌8,,,,
,,,ㅈ같은년 ㅈ구녕 시2벌탕,,,,,씌댈,,,,
,,,느금마 겹눈,,,,,씌댕,,,,
,,,느금마,,,,,씌델,,,,
,,,ㅁ1친,,,,,씌뎅,,,,
,,,^^!발,,,,,씌바,,,,
,,,시ㅡ발,,,,,씌발,,,,
,,,tlqkf,,,,,씌발넘,,,,
,,,@ㅐ미,,,,,씌발쇄,,,,
,,,ㅈ같은 벼엉신 ^^ㅣ발,,,,,씌밝,,,,
,,,^^ㅣ발,,,,,씌방,,,,
,,,니@ㅐ미,,,,,씌밸,,,,
,,,ㅗㅗ,,,,,씌밸넘,,,,
,,,개*새*끼,,,,,씌뱅,,,,
,,,ㅈ같네,,,,,씌뱌,,,,
,,,ㅈ까,,,,,씌벌,,,,
,,,ㅅ1발,,,,,씌벨,,,,
,,,전나,,,,,씌벵,,,,
,,,죤나,,,,,씌봉,,,,
,,,줜나,,,,,씌봘,,,,
,,,ㅈㄴ,,,,,씌뵹,,,,
,,,존ㄴ나,,,,,씌블,,,,
,,,즌나,,,,,씌빨,,,,
,,,젼나,,,,,씌알,,,,
,,,좃나,,,,,씌파,,,,
,,,젖나,,,,,씌팏,,,,
,,,젓나,,,,,씌팔,,,,
,,,존1나,,,,,씌팕,,,,
,,,등1신,,,,,씌퐁,,,,
,,,아버지 조기축구에서 패스못받는 공격수,,,,,씜쒜이,,,,
,,,어머니 김치찌게장인,,,,,씝,,,,
,,,야이 ^^발련아 싸맞고싶냐,,,,,씝년,,,,
,,,니임마청년,,,,,씝세,,,,
,,,애@미없냐?,,,,,씝쌔,,,,
,,,^^ㅑ년,,,,,씝쎄,,,,
,,,Fk u,,,,,씝알,,,,
,,,^^ㅣ바려나,,,,,씝알놈,,,,
,,,볎싮,,,,,씝알늠,,,,
,,,시~발,,,,,씝질,,,,
,,,시12321발,,,,,씝창,,,,
,,,새~끼가,,,,,씝탱,,,,
,,,창ㄴ녀,,,,,씝탱구리,,,,
,,,ㅅ1발,,,,,씝팔,,,,
,,,좆까,,,,,씝할,,,,
,,,조까,,,,,씞,,,,
,,,ㅅ1벨,,,,,씦알,,,,
,,,좈까,,,,,씨28,,,,
,,,^^ㅣ발,,,,,씨8,,,,
,,,병1신,,,,,씨가랭넘,,,,
,,,Sibal,,,,,씨가랭년,,,,
,,,^^ㅣ발,,,,,씨가랭놈,,,,
,,,^^lqkf,,,,,씨가랭뇬,,,,
,,,게 세끼,,,,,씨끼,,,,
,,,지랄하네,,,,,씨댕,,,,
,,,좆까,,,,,씨댕년,,,,
,,,응니애미,,,,,씨뎅,,,,
,,,너검,,,,,씨땡,,,,
,,,느금,,,,,씨뗑,,,,
,,,좆병신새끼,,,,,씨바,,,,
,,,^^ㅣ발,,,,,씨바랄,,,,
,,,시ㅡ발,,,,,씨박,,,,
,,,^ㅣ발,,,,,씨박새,,,,
,,,가정교육 독학한놈,,,,,씨발,,,,
,,,가정교육 인강으로 들었나,,,,,씨발넘,,,,
,,,^^l발,,,,,씨발년,,,,
,,,니미럴,,,,,씨발놈,,,,
,,,^^ㅣ발,,,,,씨발뇬,,,,
,,,^^l발,,,,,씨발뇸,,,,
,,,7ㅐ새77l,,,,,씨발씨발,,,,
,,,내가 너네 엄마 교육을 잘못시켰어 이딴 ^^ㅣ발럼 낳으라고  한게 아니었는데 어휴 내가 죄인이지,,,,,씨발라마,,,,
,,,애미,,,,,씨발롬,,,,
,,,oh미,,,,,씨발색,,,,
,,,oH미,,,,,씨밝,,,,
,,,@ㅐ미,,,,,씨밟,,,,
,,,OH미,,,,,씨밠,,,,
,,,시1발,,,,,씨밣,,,,
,,,^^ㅣ발,,,,,씨밤,,,,
,,,Shlt,,,,,씨밤년,,,,
,,,Fuq,,,,,씨밥바,,,,
,,,Fuk,,,,,씨밦,,,,
,,,^^ㅢ발,,,,,씨방,,,,
,,,7ㅐ새77ㅣ,,,,,씨방새,,,,
,,,아7ㅏ리,,,,,씨방세,,,,
,,,^^ㅣ발련아,,,,,씨방쉐,,,,
,,,@ㅐ미 D졌나 ^ㅣ발아?,,,,,씨밮,,,,
,,,agari 싸매세요 byeong신아 ㅋㅋ,,,,,씨밯,,,,
,,,S.i.B.a.L,,,,,씨배랄,,,,
,,,야발,,,,,씨밸,,,,
,,,노발,,,,,씨밸넘,,,,
,,,^^l바,,,,,씨밸년,,,,
,,,씨ㅡ발,,,,,씨밸놈,,,,
,,,신발,,,,,씨밸래미,,,,
,,,씨~발,,,,,씨뱅,,,,
,,,병029신인가,,,,,씨뱅놈,,,,
,,,씨1발,,,,,씨뱅딱,,,,
,,,씨!빨,,,,,씨뱔,,,,
,,,ㅆㅣㅂㅏㄹ,,,,,씨버,,,,
,,,ㄱHㅅHㄲl,,,,,씨버럴,,,,
,,,^^ㅣ발,,,,,씨벌,,,,
,,,너희 어머니 부대찌개 맛집,,,,,씨벌넘,,,,
,,,너희 어머니 이미 가루됨,,,,,씨벌년,,,,
,,,애미,,,,,씨벙,,,,
,,,oㅐ미,,,,,씨베랄,,,,
,,,씹새끼,,,,,씨베렐,,,,
,,,개색이,,,,,씨벧,,,,
,,,개새끼,,,,,씨벨,,,,
,,,게새끼,,,,,씨벨년,,,,
,,,야발럼아,,,,,씨벵,,,,
,,,ㅆ1발,,,,,씨보지,,,,
,,,^^ㅣ발,,,,,씨볼,,,,
,,,느금,,,,,씨볼년,,,,
,,,느금마,,,,,씨볼놈,,,,
,,,너거매,,,,,씨봉,,,,
,,,느@금,,,,,씨봉년,,,,
,,,느!금,,,,,씨봉쉐,,,,
,,,느#금,,,,,씨봉알,,,,
,,,느%금,,,,,씨봘,,,,
,,,느^금,,,,,씨봙,,,,
,,,느^^금,,,,,씨봟,,,,
,,,느&금,,,,,씨봣넘,,,,
,,,느*금,,,,,씨봪,,,,
,,,느()금,,,,,씨뵐,,,,
,,,느!@#금,,,,,씨부랄,,,,
,,,너거매,,,,,씨부랠,,,,
,,,늬미,,,,,씨부럴,,,,
,,,너희 어머니,,,,,씨부렁,,,,
,,,너희어머니,,,,,씨부롤,,,,
,,,너의어머니,,,,,씨불,,,,
,,,니어매,,,,,씨불넘,,,,
,,,니엄마,,,,,씨불년,,,,
,,,느검마,,,,,씨불놈,,,,
,,,느검빠,,,,,씨불뇬,,,,
,,,^^!발,,,,,씨불알,,,,
,,,^^ㅣ발,봉알,,,,씨불얼,,,,
,,,^^1발,,,,,씨불할,,,,
,,,ㅆ1발,,,,,씨불헐,,,,
,,,7H^H77I,,,,,씨붕,,,,
,,,^^ㅣ발련아,,,,,씨붤,,,,
,,,"^^l발,77ㅐ^ㅐ77ㅣ",,,,,씨뷀,,,,
,,,숨도 천천히 쉬고 너가 마시는 산소도 아깝다,,,,,씨뷩,,,,
,,,그렇게 생각이 짧으면 혼자 생각만해,,,,,씨븅,,,,
,,,말하지 말고^^ 너무 답답하면 일기장에 적고 너혼자 봐,,,,,씨브,,,,
,,,너 생각은 너가 보는 것도 참 그렇긴 하다만,,,,,씨브랄,,,,
,,,그래도 그 정도는 연필한테만 종이한테만 미안해하면 되잖아,,,,,씨브럴,,,,
,,,어머니 집에 잘 계시니?,,,,,씨브알,,,,
,,,너네 엄마 만수무강,,,,,씨블,,,,
,,,애ㅡㅡ미 씨ㅡㅡ발년아 정신머리는 어디다가 두고 살고있냐,,,,,씨블넘,,,,
,,,니가 사람이야 피융신새1끼야?ㅋㅋ,,,,,씨블년,,,,
,,,ㅈㄴ노답이네 이새ㅡ끼 ㅋㅋ,,,,,씨븡,,,,
,,,시123발,,,,,씨빠,,,,
,,,ㅅ ㅣ ㅂ ㅏㄹ ^^ㅣ발럼이,,,,,씨빡,,,,
,,,ㄹㅇ로 앰 디졋네 니네엄마 어젯밤에 개오지더라,,,,,씨빨,,,,
,,,아 시부랄 게임 Jot가치하네,,,,,씨빨넘,,,,
,,,핑시나,,,,,씨빯,,,,
,,,핑신새퀴,,,,,씨빳다,,,,
,,,핑신새키야,,,,,씨빵,,,,
,,,시부레,,,,,씨뻘,,,,
,,,씨부레,,,,,씨뻥,,,,
,,,슈발,,,,,씨뽀랄,,,,
,,,쇼발,,,,,씨뽤,,,,
,,,시발,,,,,씨뽥,,,,
,,,미1친새1끼야,,,,,씨뿔,,,,
,,,Puck fucin fukin fuckin,,,,,씨쁠,,,,
,,,Medgym,,,,,씨섹끼,,,,
,,,mothersuck,,,,,씨앙,,,,
,,,suck my dick,,,,,씨앙넘,,,,
,,,asshole,,,,,씨앙년,,,,
,,,ballshit,,,,,씨앙놈,,,,
,,,Tlqkf 잠만 형 닥쳐봐,,,,,씨앙눔,,,,
,,,ㅈㄹㄴ,,,,,씨양넘,,,,
,,,ME디1졌냐? MEdgym  mothersuck suck my dick asshole ballshit shit fuㅆk,,,,,씨양년,,,,
,,,아오 이 십장생 개나리 조카 18색 크레파스,,,,,씨양념,,,,
,,,ㄱㅐㅆㅣ붕알탱,,,,,씨양놈,,,,
,,,쉬펄녠아 뉸꺄리룰 확 뿁아댜 가라마신다!,,,,,씨양눔,,,,
,,,^^ㅣ발 지11랄하네,,,,,씨이댕,,,,
,,,애@미 뒤진 고아ㄹ아,,,,,씨이바,,,,
,,,시@@발련이 겜 ㅈ같이하네,,,,,씨이발,,,,
,,,니 앰 10달동안 자궁에서 쓰레기 키웠네,,,,,씨이방,,,,
,,,ㅈi랄,,,,,씨이밸,,,,
,,,ㄴㄱㅁ,,,,,씨이뱅,,,,
,,,부모님 건강하시지?계시니? 아버지 잘 계시지?,,,,,씨이벌,,,,
,,,엄마 건강하지?,,,,,씨이불,,,,
,,,아빠 건강하지?,,,,,씨이붕,,,,
,,,어머니 잘 계시니?,,,,,씨이빡,,,,
,,,어머니 잘 계시지?,,,,,씨이빨,,,,
,,,아버지 잘 계시지?,,,,,씨이이팔,,,,
,,,개sㅐ끼야,,,,,씨이팔,,,,
,,,7ㅐ새77ㅣ,,,,,씨이펄,,,,
,,,개못함 ^^ㅣ발,,,,,씨이풀,,,,
,,,사람 실력이냐 개^ㅐ77ㅣ…,,,,,씨입년,,,,
,,,ㅅㅠㅂㅏㄹ 조졌누,,,,,씨입뇬,,,,
,,,ㅈㅗㅈ됐네 ㅅㅂ,,,,,씨입쉐,,,,
,,,섹.스마스터,,,,,씨입팔,,,,
